thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
84,0,84,[-0.05555555555555555],[0.45],[1],[0],[0],[1.1635053000645712],['Target'],84,0,84,0,146.90392110007815,,10,146.87723690003622,146.90392110007815,146.90392110007815,0.035354800056666136,147.9054808000801,148.0408604000695,[-0.05555555555555555],[0.45],[1],[0],[0],[1.1635053000645712],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
85,0,85,[-0.1763888888888889],[0.17083333333333334],[1],[0],[0],[1.3840837999014184],['Target'],85,0,85,0,148.0870622000657,,10,148.0743528000312,148.0870622000657,148.0870622000657,0.03329300007317215,149.08927050000057,149.4585059999954,[-0.1763888888888889],[0.17083333333333334],[1],[0],[0],[1.3840837999014184],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
86,0,86,[0.18055555555555555],[0.2847222222222222],[1],[0],[0],[1.3234839000506327],['Target'],86,0,86,0,149.504157800111,,10,149.48741160007194,149.504157800111,149.504157800111,0.028764199931174517,150.5058105000062,150.81103410001379,[0.18055555555555555],[0.2847222222222222],[1],[0],[0],[1.3234839000506327],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
87,0,87,[-0.10277777777777777],[-0.3472222222222222],[1],[0],[0],[2.0275822000112385],['Target'],87,0,87,0,150.85466690000612,,5,150.8312781000277,150.85466690000612,150.85466690000612,0.020002200035378337,151.85594450007193,152.858948100009,[-0.10277777777777777],[-0.3472222222222222],[1],[0],[0],[2.0275822000112385],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
88,0,88,[0.30972222222222223],[0.18055555555555555],[1],[0],[0],[1.2010638000210747],['Target'],88,0,88,0,152.88759090006351,,5,152.8752983000595,152.88759090006351,152.88759090006351,0.016200799960643053,153.88902750005946,154.07651620008983,[0.30972222222222223],[0.18055555555555555],[1],[0],[0],[1.2010638000210747],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
89,0,89,[0.0763888888888889],[0.23194444444444445],[1],[0],[0],[1.1638326999964193],['Target'],89,0,89,0,154.1040398000041,,5,154.09521110006608,154.1040398000041,154.1040398000041,0.01843259995803237,155.10680990002584,155.2591757000191,[0.0763888888888889],[0.23194444444444445],[1],[0],[0],[1.1638326999964193],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
90,0,90,[-0.07083333333333333],[-0.2847222222222222],[1],[0],[0],[1.2354007000103593],['Target'],90,0,90,0,155.30446870008018,,10,155.28984370001126,155.30446870008018,155.30446870008018,0.030410400009714067,156.3059504000703,156.52533820003737,[-0.07083333333333333],[-0.2847222222222222],[1],[0],[0],[1.2354007000103593],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
91,0,91,[0.09166666666666666],[0.11805555555555555],[1],[0],[0],[1.122122299973853],['Target'],91,0,91,0,156.57133180007804,,10,156.55511250009295,156.57133180007804,156.57133180007804,0.029527600039727986,157.57386750006117,157.67735290003475,[0.09166666666666666],[0.11805555555555555],[1],[0],[0],[1.122122299973853],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
92,0,92,[0.002777777777777778],[0.2916666666666667],[1],[0],[0],[1.2015270000556484],['Target'],92,0,92,0,157.72090060007758,,10,157.70722030010074,157.72090060007758,157.72090060007758,0.02962050004862249,158.72400980000384,158.9088815000141,[0.002777777777777778],[0.2916666666666667],[1],[0],[0],[1.2015270000556484],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
93,0,93,[0.4513888888888889],[-0.3013888888888889],[1],[0],[0],[1.671448600012809],['Target'],93,0,93,0,158.95502470002975,,10,158.938814299996,158.95502470002975,158.95502470002975,0.029646100010722876,159.95605960011017,160.61046380002517,[0.4513888888888889],[-0.3013888888888889],[1],[0],[0],[1.671448600012809],['Target'],0003,001,2025-09-30_16h09.42.708,visual search,,2025.1.1,60.015147798913794,2025-09-30 16h09.51.213311 +0530,
