delay,freq,condition,key_resp.rt,textbox.text,,,,,,,,
0.7,1000,exp,0.2419432,300,,,,,,,,
0.4,1000,exp,0.4622805,600,,,,,,,,
0.7,400,unexp,0.3311724,900,,,,,,,,
0.1,1000,exp,0.7490339,500,,,,,,,,
0.1,1000,exp,1.0121616,300,,,,,,,,
0.1,1000,exp,0.2876524,340,,,,,,,,
0.7,1000,exp,1.6835199,230,,,,,,,,
0.1,1000,exp,0.2788333,340,,,,,,,,
0.1,400,unexp,0.2769058,900,,,,,,,,
0.4,1000,exp,0.4258499,500,,,,,,,,
0.7,1000,exp,0.3260582,230,,,,,,,,
0.4,400,unexp,1.0049682,900,,,,,,,,
0.7,1000,exp,0.3147653,120,,,,,,,,
0.4,1000,exp,0.323605,900,,,,,,,,
0.4,1000,exp,0.1929697,300,,,,,,,,
0.7,400,unexp,0.4695954,900,,,,,,,,
0.1,1000,exp,0.830972,900,,,,,,,,
0.4,1000,exp,0.3820987,500,,,,,,,,
0.4,1000,exp,1.0648305,200,,,,,,,,
0.7,1000,exp,2.0987356,300,,,,,,,,
0.1,400,unexp,0.0235061,900,,,,,,,,
0.1,1000,exp,0.3027674,300,,,,,,,,
0.7,1000,exp,0.4590212,200,,,,,,,,
0.4,400,unexp,0.306247,900,,,,,,,,
0.7,400,unexp,0.4222144,900,,,,,,,,
0.1,1000,exp,0.2879901,400,,,,,,,,
0.7,1000,exp,1.3445704,200,,,,,,,,
0.4,1000,exp,1.2409093,300,,,,,,,,
0.4,1000,exp,1.2313223,400,,,,,,,,
0.1,1000,exp,1.5954314,200,,,,,,,,
0.1,1000,exp,0.4321092,200,,,,,,,,
0.4,1000,exp,1.1684446,400,,,,,,,,
0.1,1000,exp,0.4509798,300,,,,,,,,
0.7,1000,exp,0.2086678,100,,,,,,,,
0.7,1000,exp,0.3577186,300,,,,,,,,
0.7,1000,exp,0.3173299,200,,,,,,,,
0.4,1000,exp,0.3079195,300,,,,,,,,
0.4,400,unexp,0.256875,800,,,,,,,,
0.7,400,unexp,1.1100946,900,,,,,,,,
0.1,400,unexp,0.8677013,900,,,,,,,,
0.1,1000,exp,1.6393504,500,,,,,,,,
0.1,1000,exp,3.2300186,300,,,,,,,,
0.4,400,unexp,0.4113108,900,,,,,,,,
0.4,1000,exp,1.2288684,200,,,,,,,,
0.4,1000,exp,1.4324154,100,,,,,,,,
0.1,400,unexp,2.3248038,900,,,,,,,,
0.7,1000,exp,3.1197746,300,,,,,,,,
0.7,1000,exp,0.4013018,200,,,,,,,,
0.1,1000,exp,0.2303882,200,,,,,,,,
0.7,1000,exp,0.3355263,300,,,,,,,,
0.7,400,unexp,0.4900061,960,,,,,,,,
0.4,1000,exp,0.8759067,300,,,,,,,,
0.4,1000,exp,0.2650503,300,,,,,,,,
0.7,1000,exp,0.2657974,200,,,,,,,,
0.4,1000,exp,0.2485386,150,,,,,,,,
0.7,400,unexp,0.7572525,900,,,,,,,,
0.4,1000,exp,1.4428716,120,,,,,,,,
0.7,1000,exp,1.8162921,300,,,,,,,,
0.1,1000,exp,0.5837229,200,,,,,,,,
0.1,400,unexp,0.798909,800,,,,,,,,
0.4,400,unexp,1.1690575,800,,,,,,,,
0.1,1000,exp,1.1658074,500,,,,,,,,
0.1,1000,exp,0.3189145,300,,,,,,,,
0.7,1000,exp,0.3110796,200,,,,,,,,
0.1,1000,exp,0.7500946,100,,,,,,,,
0.4,1000,exp,0.6365929,200,,,,,,,,
0.1,400,unexp,0.4547234,300,,,,,,,,
0.7,1000,exp,0.4886189,200,,,,,,,,
0.4,400,unexp,0.1699739,600,,,,,,,,
0.1,1000,exp,0.8381827,300,,,,,,,,
0.1,1000,exp,0.4370399,200,,,,,,,,
0.7,400,unexp,0.6860732,900,,,,,,,,
0.4,1000,exp,4.692678,400,,,,,,,,
0.7,1000,exp,2.093414,300,,,,,,,,
0.4,1000,exp,0.1989249,200,,,,,,,,
0.7,1000,exp,2.4225462,200,,,,,,,,
0.7,1000,exp,1.1164628,140,,,,,,,,
0.7,400,unexp,0.8602905,200,,,,,,,,
0.7,1000,exp,0.5536136,120,,,,,,,,
0.1,1000,exp,0.5664283,300,,,,,,,,
0.7,1000,exp,0.2889457,200,,,,,,,,
0.4,1000,exp,1.6722564,200,,,,,,,,
0.1,1000,exp,0.52415,300,,,,,,,,
0.4,400,unexp,1.4195731,900,,,,,,,,
0.1,400,unexp,0.3518521,950,,,,,,,,
0.4,1000,exp,0.8744776,340,,,,,,,,
0.4,1000,exp,0.4063389,120,,,,,,,,
0.1,1000,exp,0.2433458,230,,,,,,,,
0.1,1000,exp,0.2904995,200,,,,,,,,
0.4,1000,exp,0.052455,300,,,,,,,,
0.1,1000,exp,0.3280241,200,,,,,,,,
0.7,400,unexp,0.3021416,900,,,,,,,,
0.4,400,unexp,0.416151,960,,,,,,,,
0.4,1000,exp,0.5179028,200,,,,,,,,
0.7,1000,exp,0.1770806,120,,,,,,,,
0.7,1000,exp,0.4372352,340,,,,,,,,
0.7,1000,exp,0.8023918,120,,,,,,,,
0.1,400,unexp,0.2377401,900,,,,,,,,
